Gene	CGC	Publications	Cancer type frequency per number of publications
AKAP8	No	5	"Liver Cancer":20%;"Blood Cancer":20%;"Colorectal Cancer":40%;"Gastric Cancer":20%;
AKAP8L	No	5	"Liver Cancer":40%;"Blood Cancer":20%;"Colorectal Cancer":20%;"Gastric Cancer":20%;
AKR1A1	No	5	"Liver Cancer":40%;"Colorectal Cancer":40%;"Pancreatic Cancer":20%;
AMMECR1L	No	5	"Liver Cancer":40%;"Blood Cancer":40%;"Colorectal Cancer":20%;
ANKRD13C	No	4	"Liver Cancer":50%;"Colorectal Cancer":50%;
ANKRD40	No	5	"Liver Cancer":40%;"Blood Cancer":20%;"Colorectal Cancer":20%;"Gastric Cancer":20%;
ANXA7	No	5	"Liver Cancer":20%;"Blood Cancer":60%;"Colorectal Cancer":20%;
AP2A2	No	5	"Liver Cancer":40%;"Blood Cancer":20%;"Colorectal Cancer":20%;"Pancreatic Cancer":20%;
AP3B1	No	5	"Liver Cancer":20%;"Blood Cancer":20%;"Colorectal Cancer":20%;"Gastric Cancer":20%;"Nervous System Cancer":20%;
AP4S1	No	5	"Liver Cancer":20%;"Blood Cancer":20%;"Colorectal Cancer":40%;"Nervous System Cancer":20%;
ARFGEF1	No	5	"Lung Cancer":20%;"Blood Cancer":20%;Sarcoma:20%;"Pancreatic Cancer":20%;"Gastric Cancer":20%;
ARHGAP18	No	4	"Blood Cancer":50%;"Pancreatic Cancer":50%;
ARHGAP32	No	3	"Pancreatic Cancer":33%;"Nervous System Cancer":33%;"Colorectal Cancer":33%;
ARHGAP6	No	5	"Liver Cancer":40%;"Pancreatic Cancer":20%;"Gastric Cancer":20%;"Blood Cancer":20%;
ARHGEF11	No	4	"Liver Cancer":50%;"Blood Cancer":25%;"Nervous System Cancer":25%;
ARID5B	No	5	"Liver Cancer":40%;Mixed:20%;"Blood Cancer":20%;"Colorectal Cancer":20%;
ARPP19	No	5	"Liver Cancer":40%;"Blood Cancer":20%;"Colorectal Cancer":20%;"Pancreatic Cancer":20%;
ATP11B	No	5	"Liver Cancer":20%;"Lung Cancer":20%;"Blood Cancer":20%;"Colorectal Cancer":20%;"Gastric Cancer":20%;
ATP5F1B	No	5	"Liver Cancer":40%;"Blood Cancer":20%;"Colorectal Cancer":40%;
ATP6V1A	No	5	"Liver Cancer":20%;"Blood Cancer":20%;"Colorectal Cancer":40%;"Nervous System Cancer":20%;
ATRN	No	5	"Liver Cancer":40%;"Blood Cancer":20%;"Skin Cancer":20%;"Breast Cancer":20%;
ATXN10	No	4	"Liver Cancer":50%;"Blood Cancer":25%;"Nervous System Cancer":25%;
AUTS2	No	5	"Liver Cancer":40%;"Colorectal Cancer":40%;"Pancreatic Cancer":20%;
BACH1	No	5	"Liver Cancer":40%;"Colorectal Cancer":40%;"Gastric Cancer":20%;
BAG6	No	4	"Colorectal Cancer":50%;"Pancreatic Cancer":25%;"Blood Cancer":25%;
BCAR3	No	5	"Liver Cancer":40%;"Blood Cancer":20%;"Colorectal Cancer":20%;Sarcoma:20%;
BCR	Yes	4	"Liver Cancer":25%;"Breast Cancer":25%;"Blood Cancer":25%;"Pancreatic Cancer":25%;
BICC1	No	3	"Liver Cancer":33%;Sarcoma:33%;"Pancreatic Cancer":33%;
BNIP2	No	4	"Liver Cancer":50%;"Colorectal Cancer":25%;"Pancreatic Cancer":25%;
BRAF	Yes	5	Sarcoma:20%;Mixed:20%;"Blood Cancer":20%;"Colorectal Cancer":20%;"Skin Cancer":20%;
BRI3	No	4	"Liver Cancer":25%;"Blood Cancer":25%;"Colorectal Cancer":25%;"Pancreatic Cancer":25%;
BTBD1	No	5	"Liver Cancer":40%;"Blood Cancer":20%;"Colorectal Cancer":20%;"Gastric Cancer":20%;
C1GALT1	No	4	"Blood Cancer":25%;"Pancreatic Cancer":50%;"Gastric Cancer":25%;
C1QTNF6	No	4	"Blood Cancer":100%;
C2CD2	No	5	"Liver Cancer":40%;"Blood Cancer":40%;"Breast Cancer":20%;
KIAA1522	No	5	"Liver Cancer":40%;"Blood Cancer":20%;"Colorectal Cancer":40%;
CADM1	No	3	"Pancreatic Cancer":33%;"Nervous System Cancer":66%;
CAMTA1	Yes	5	"Liver Cancer":20%;"Colorectal Cancer":20%;"Blood Cancer":40%;"Nervous System Cancer":20%;
CAND1	No	5	"Liver Cancer":40%;"Colorectal Cancer":60%;
CBFA2T2	No	4	"Liver Cancer":50%;"Blood Cancer":25%;"Pancreatic Cancer":25%;
CCDC117	No	5	"Liver Cancer":40%;"Blood Cancer":20%;"Colorectal Cancer":20%;"Pancreatic Cancer":20%;
CCDC17	No	5	"Liver Cancer":60%;"Blood Cancer":20%;"Colorectal Cancer":20%;
CCL25	No	5	"Liver Cancer":40%;"Blood Cancer":20%;"Colorectal Cancer":40%;
CCNT1	No	4	"Liver Cancer":25%;"Colorectal Cancer":75%;
CCT7	No	5	"Liver Cancer":40%;"Lung Cancer":20%;"Colorectal Cancer":20%;"Nervous System Cancer":20%;
CD164	No	5	"Liver Cancer":60%;"Blood Cancer":20%;"Colorectal Cancer":20%;
CDC14A	No	5	"Blood Cancer":40%;"Colorectal Cancer":20%;"Pancreatic Cancer":20%;"Gastric Cancer":20%;
CDC27	No	5	"Liver Cancer":40%;"Blood Cancer":20%;"Colorectal Cancer":20%;"Nervous System Cancer":20%;
CDC37L1	No	5	"Liver Cancer":40%;"Blood Cancer":20%;"Colorectal Cancer":20%;"Gastric Cancer":20%;
CDC42BPB	No	4	"Liver Cancer":50%;"Blood Cancer":25%;"Pancreatic Cancer":25%;
CDC42SE2	No	3	"Blood Cancer":66%;"Nervous System Cancer":33%;
CDKAL1	No	5	"Blood Cancer":20%;"Nervous System Cancer":40%;"Colorectal Cancer":40%;
CEBPE	No	5	"Blood Cancer":80%;"Colorectal Cancer":20%;
CEBPG	No	5	"Liver Cancer":60%;"Colorectal Cancer":20%;"Blood Cancer":20%;
CEP95	No	5	"Liver Cancer":40%;"Blood Cancer":20%;"Colorectal Cancer":20%;"Gastric Cancer":20%;
CHL1	No	5	"Blood Cancer":40%;"Skin Cancer":20%;"Nervous System Cancer":40%;
CLIP2	No	5	"Blood Cancer":20%;"Colorectal Cancer":40%;"Pancreatic Cancer":20%;"Skin Cancer":20%;
CLK2	No	4	"Blood Cancer":25%;"Colorectal Cancer":25%;"Pancreatic Cancer":25%;"Liver Cancer":25%;
CNN3	No	5	"Liver Cancer":40%;"Nervous System Cancer":20%;"Colorectal Cancer":20%;"Blood Cancer":20%;
CNTF	No	5	"Liver Cancer":40%;"Blood Cancer":20%;"Colorectal Cancer":20%;"Gastric Cancer":20%;
COG3	No	5	"Liver Cancer":40%;"Blood Cancer":20%;"Colorectal Cancer":20%;"Gastric Cancer":20%;
COL18A1	No	4	"Liver Cancer":50%;"Blood Cancer":25%;"Pancreatic Cancer":25%;
COL5A1	No	5	"Blood Cancer":40%;Sarcoma:20%;"Skin Cancer":20%;"Nervous System Cancer":20%;
COMT	No	4	"Liver Cancer":50%;"Nervous System Cancer":25%;"Gastric Cancer":25%;
CPEB2	No	5	"Liver Cancer":40%;"Skin Cancer":20%;"Nervous System Cancer":20%;"Gastric Cancer":20%;
CREB1	Yes	5	"Blood Cancer":20%;Sarcoma:20%;"Colorectal Cancer":20%;"Pancreatic Cancer":20%;"Gastric Cancer":20%;
CRKL	No	4	"Liver Cancer":50%;"Colorectal Cancer":25%;"Pancreatic Cancer":25%;
CRTC3	Yes	5	"Liver Cancer":20%;"Blood Cancer":40%;"Nervous System Cancer":20%;"Colorectal Cancer":20%;
CSMD3	Yes	5	Sarcoma:20%;Mixed:20%;"Liver Cancer":20%;"Gastric Cancer":20%;"Nervous System Cancer":20%;
CSNK2A2	No	4	"Nervous System Cancer":25%;"Pancreatic Cancer":25%;"Skin Cancer":25%;"Colorectal Cancer":25%;
CTDSPL2	No	5	"Liver Cancer":20%;"Colorectal Cancer":40%;"Pancreatic Cancer":20%;"Gastric Cancer":20%;
CUL4B	No	5	"Liver Cancer":20%;"Colorectal Cancer":60%;"Pancreatic Cancer":20%;
CYSTM1	No	4	"Blood Cancer":25%;"Colorectal Cancer":75%;
KIAA0232	No	4	"Liver Cancer":50%;"Blood Cancer":25%;"Pancreatic Cancer":25%;
DAAM1	No	5	"Liver Cancer":40%;"Blood Cancer":20%;"Breast Cancer":20%;"Nervous System Cancer":20%;
DCAF5	No	5	"Liver Cancer":40%;"Blood Cancer":20%;"Colorectal Cancer":20%;"Pancreatic Cancer":20%;
DCBLD1	No	5	"Liver Cancer":20%;"Colorectal Cancer":40%;"Pancreatic Cancer":40%;
DDX50	No	5	"Liver Cancer":40%;"Blood Cancer":20%;"Nervous System Cancer":20%;"Colorectal Cancer":20%;
DENND2C	No	5	"Colorectal Cancer":40%;"Blood Cancer":40%;"Nervous System Cancer":20%;
DERL1	No	5	"Liver Cancer":40%;"Blood Cancer":20%;"Colorectal Cancer":40%;
DMTF1	No	5	"Liver Cancer":40%;"Blood Cancer":20%;"Breast Cancer":20%;"Colorectal Cancer":20%;
DNAJA2	No	5	"Liver Cancer":40%;"Colorectal Cancer":20%;Sarcoma:20%;"Gastric Cancer":20%;
DNAJB4	No	5	"Liver Cancer":40%;"Colorectal Cancer":20%;"Pancreatic Cancer":20%;"Gastric Cancer":20%;
DNAJC25	No	5	"Liver Cancer":40%;"Blood Cancer":20%;"Colorectal Cancer":20%;"Nervous System Cancer":20%;
DNASE2B	No	4	"Liver Cancer":50%;"Pancreatic Cancer":25%;"Gastric Cancer":25%;
DNMBP	No	5	"Liver Cancer":40%;"Blood Cancer":20%;"Colorectal Cancer":40%;
DOCK7	No	4	"Nervous System Cancer":50%;"Colorectal Cancer":25%;"Blood Cancer":25%;
DOT1L	No	5	"Liver Cancer":40%;"Colorectal Cancer":60%;
DPP10	No	4	"Blood Cancer":25%;"Liver Cancer":25%;"Colorectal Cancer":25%;"Gastric Cancer":25%;
DSG2	No	5	"Liver Cancer":40%;"Colorectal Cancer":60%;
DSTN	No	5	"Liver Cancer":20%;"Pancreatic Cancer":40%;"Colorectal Cancer":40%;
E2F3	No	5	"Colorectal Cancer":60%;"Skin Cancer":20%;"Nervous System Cancer":20%;
ECE1	No	5	"Liver Cancer":40%;"Blood Cancer":20%;"Colorectal Cancer":20%;"Pancreatic Cancer":20%;
EEF1G	No	5	"Liver Cancer":60%;"Blood Cancer":20%;"Colorectal Cancer":20%;
EGFR	Yes	5	"Liver Cancer":80%;"Colorectal Cancer":20%;
EHF	No	4	"Colorectal Cancer":50%;"Pancreatic Cancer":25%;"Skin Cancer":25%;
EIF4G1	No	5	"Liver Cancer":40%;"Colorectal Cancer":20%;"Blood Cancer":20%;"Gastric Cancer":20%;
EIF4G2	No	5	"Liver Cancer":40%;"Blood Cancer":20%;"Colorectal Cancer":20%;"Pancreatic Cancer":20%;
EIF4H	No	5	"Liver Cancer":40%;"Blood Cancer":20%;"Colorectal Cancer":20%;"Nervous System Cancer":20%;
ELMSAN1	No	5	"Liver Cancer":40%;"Blood Cancer":20%;"Breast Cancer":20%;"Colorectal Cancer":20%;
EPB41L2	No	5	"Liver Cancer":40%;"Blood Cancer":20%;"Pancreatic Cancer":20%;"Skin Cancer":20%;
EPHA2	No	5	"Liver Cancer":40%;"Colorectal Cancer":40%;"Pancreatic Cancer":20%;
EPS15	Yes	5	"Blood Cancer":40%;"Colorectal Cancer":40%;"Skin Cancer":20%;
EPS15L1	No	4	"Liver Cancer":25%;"Blood Cancer":25%;"Pancreatic Cancer":25%;"Colorectal Cancer":25%;
ERC1	Yes	4	"Liver Cancer":25%;"Blood Cancer":25%;"Colorectal Cancer":25%;"Pancreatic Cancer":25%;
ERGIC2	No	4	"Liver Cancer":25%;"Blood Cancer":50%;"Nervous System Cancer":25%;
ERI3	No	4	"Blood Cancer":25%;"Colorectal Cancer":25%;"Pancreatic Cancer":25%;"Gastric Cancer":25%;
ERRFI1	No	4	"Liver Cancer":50%;"Pancreatic Cancer":50%;
ESCO1	No	5	"Liver Cancer":40%;"Blood Cancer":20%;"Pancreatic Cancer":20%;"Colorectal Cancer":20%;
ESD	No	5	"Liver Cancer":40%;"Blood Cancer":20%;"Colorectal Cancer":20%;"Pancreatic Cancer":20%;
ESRP1	No	5	"Blood Cancer":20%;"Colorectal Cancer":60%;"Breast Cancer":20%;
ETFA	No	5	"Liver Cancer":40%;"Blood Cancer":20%;"Skin Cancer":20%;"Nervous System Cancer":20%;
EVI2B	No	5	"Blood Cancer":40%;"Liver Cancer":20%;Sarcoma:20%;"Gastric Cancer":20%;
EVI5	No	5	"Liver Cancer":40%;"Blood Cancer":40%;"Colorectal Cancer":20%;
EXOC6B	No	5	"Blood Cancer":20%;"Pancreatic Cancer":20%;"Skin Cancer":20%;"Nervous System Cancer":20%;"Gastric Cancer":20%;
EYA3	No	5	"Liver Cancer":40%;"Blood Cancer":20%;"Colorectal Cancer":40%;
FAM168B	No	4	"Blood Cancer":25%;"Colorectal Cancer":25%;"Nervous System Cancer":25%;"Gastric Cancer":25%;
FAM192A	No	4	"Liver Cancer":25%;"Blood Cancer":25%;"Pancreatic Cancer":25%;"Colorectal Cancer":25%;
FAM210A	No	4	"Liver Cancer":50%;"Pancreatic Cancer":25%;"Gastric Cancer":25%;
FAR1	No	4	"Blood Cancer":25%;"Pancreatic Cancer":25%;"Skin Cancer":25%;"Gastric Cancer":25%;
FARP1	No	4	"Colorectal Cancer":50%;"Pancreatic Cancer":25%;"Gastric Cancer":25%;
FBXL17	No	4	"Liver Cancer":25%;"Pancreatic Cancer":25%;"Nervous System Cancer":25%;"Gastric Cancer":25%;
FHIT	Yes	5	"Blood Cancer":40%;"Liver Cancer":20%;"Nervous System Cancer":20%;"Gastric Cancer":20%;
FMR1	No	5	"Liver Cancer":20%;"Blood Cancer":20%;"Pancreatic Cancer":20%;"Breast Cancer":20%;"Gastric Cancer":20%;
FOXN2	No	5	"Liver Cancer":40%;"Blood Cancer":20%;"Colorectal Cancer":20%;"Nervous System Cancer":20%;
FOXO3	Yes	4	"Liver Cancer":50%;"Blood Cancer":25%;"Nervous System Cancer":25%;
FOXR2	No	4	"Blood Cancer":50%;"Skin Cancer":25%;"Nervous System Cancer":25%;
FRMD6	No	5	"Breast Cancer":20%;"Blood Cancer":20%;"Colorectal Cancer":20%;"Skin Cancer":40%;
FUT8	No	4	"Blood Cancer":25%;"Colorectal Cancer":50%;"Gastric Cancer":25%;
GART	No	5	"Liver Cancer":60%;"Blood Cancer":20%;"Colorectal Cancer":20%;
GLUD1	No	5	"Liver Cancer":40%;"Colorectal Cancer":20%;"Pancreatic Cancer":20%;"Gastric Cancer":20%;
GPAT4	No	5	"Liver Cancer":40%;"Blood Cancer":20%;"Nervous System Cancer":20%;"Colorectal Cancer":20%;
GPHN	Yes	5	"Liver Cancer":40%;"Blood Cancer":20%;"Colorectal Cancer":40%;
GRAMD4	No	4	"Blood Cancer":25%;"Colorectal Cancer":25%;"Pancreatic Cancer":25%;"Gastric Cancer":25%;
GRM7	No	5	"Liver Cancer":60%;Mixed:20%;"Gastric Cancer":20%;
THUMPD3-AS1	No	5	"Liver Cancer":40%;"Blood Cancer":20%;"Colorectal Cancer":20%;"Pancreatic Cancer":20%;
HADHA	No	5	"Liver Cancer":40%;"Blood Cancer":20%;"Colorectal Cancer":40%;
C5	No	5	"Liver Cancer":40%;"Blood Cancer":20%;"Colorectal Cancer":20%;"Skin Cancer":20%;
HIBADH	No	5	"Liver Cancer":40%;"Blood Cancer":40%;"Colorectal Cancer":20%;
HIVEP2	No	4	"Blood Cancer":25%;"Pancreatic Cancer":25%;"Nervous System Cancer":50%;
HNF4A	No	4	"Liver Cancer":50%;"Colorectal Cancer":25%;"Pancreatic Cancer":25%;
HOOK3	Yes	4	"Liver Cancer":50%;"Blood Cancer":25%;"Pancreatic Cancer":25%;
HS2ST1	No	4	"Blood Cancer":25%;"Pancreatic Cancer":25%;"Skin Cancer":25%;"Nervous System Cancer":25%;
HSDL2	No	5	"Liver Cancer":40%;"Blood Cancer":40%;"Colorectal Cancer":20%;
HSPA5	No	5	"Liver Cancer":40%;"Blood Cancer":20%;"Colorectal Cancer":20%;"Skin Cancer":20%;
HSPA9	No	5	"Liver Cancer":40%;"Blood Cancer":20%;"Colorectal Cancer":40%;
ICE1	No	4	"Liver Cancer":50%;"Nervous System Cancer":25%;"Colorectal Cancer":25%;
IFT46	No	5	"Liver Cancer":40%;"Blood Cancer":20%;"Colorectal Cancer":40%;
IL1RAPL2	No	5	"Liver Cancer":40%;"Nervous System Cancer":40%;"Gastric Cancer":20%;
IMMP2L	No	4	"Liver Cancer":25%;"Blood Cancer":25%;"Pancreatic Cancer":50%;
INPP5F	No	5	"Liver Cancer":40%;"Blood Cancer":20%;"Colorectal Cancer":20%;"Skin Cancer":20%;
INTS8	No	4	"Blood Cancer":25%;"Colorectal Cancer":50%;"Pancreatic Cancer":25%;
ISY1-RAB43	No	5	"Liver Cancer":40%;"Blood Cancer":20%;"Colorectal Cancer":20%;"Gastric Cancer":20%;
ITPR1	No	5	"Liver Cancer":40%;"Blood Cancer":20%;"Colorectal Cancer":20%;"Pancreatic Cancer":20%;
KBTBD2	No	4	"Liver Cancer":50%;"Colorectal Cancer":25%;"Pancreatic Cancer":25%;
KDELR2	No	5	"Liver Cancer":40%;"Colorectal Cancer":40%;"Nervous System Cancer":20%;
KDM7A	No	4	"Liver Cancer":25%;"Lung Cancer":25%;"Blood Cancer":25%;"Nervous System Cancer":25%;
KIF1B	No	5	"Liver Cancer":60%;"Blood Cancer":20%;"Colorectal Cancer":20%;
KIFC2	No	5	"Liver Cancer":40%;"Blood Cancer":20%;"Colorectal Cancer":20%;"Gastric Cancer":20%;
KPNA1	No	5	"Liver Cancer":40%;"Blood Cancer":20%;Sarcoma:20%;"Gastric Cancer":20%;
LIMK2	No	5	"Blood Cancer":20%;"Colorectal Cancer":60%;"Nervous System Cancer":20%;
LIN54	No	5	"Blood Cancer":40%;"Colorectal Cancer":40%;"Skin Cancer":20%;
LIN7B	No	5	"Liver Cancer":40%;"Blood Cancer":20%;"Colorectal Cancer":20%;"Gastric Cancer":20%;
LRIG2	No	4	"Liver Cancer":25%;"Breast Cancer":25%;"Blood Cancer":25%;"Pancreatic Cancer":25%;
LSR	No	5	"Liver Cancer":40%;"Colorectal Cancer":20%;"Pancreatic Cancer":20%;"Gastric Cancer":20%;
LYST	No	5	"Liver Cancer":60%;"Blood Cancer":20%;"Nervous System Cancer":20%;
MACF1	No	5	"Liver Cancer":40%;"Blood Cancer":20%;"Pancreatic Cancer":40%;
MAD1L1	No	4	"Blood Cancer":50%;"Nervous System Cancer":25%;"Colorectal Cancer":25%;
MAN1A1	No	5	"Liver Cancer":40%;"Blood Cancer":40%;"Breast Cancer":20%;
MAP3K12	No	5	"Liver Cancer":20%;"Blood Cancer":20%;"Colorectal Cancer":40%;"Pancreatic Cancer":20%;
MBTD1	No	4	"Blood Cancer":25%;"Nervous System Cancer":25%;"Colorectal Cancer":25%;"Pancreatic Cancer":25%;
MGAT3	No	4	"Blood Cancer":25%;"Colorectal Cancer":50%;"Pancreatic Cancer":25%;
MINDY1	No	4	"Liver Cancer":25%;"Colorectal Cancer":25%;"Pancreatic Cancer":25%;"Blood Cancer":25%;
MINDY2	No	5	"Liver Cancer":20%;"Blood Cancer":20%;"Colorectal Cancer":40%;"Nervous System Cancer":20%;
MINK1	No	5	"Liver Cancer":20%;"Blood Cancer":20%;"Colorectal Cancer":40%;"Gastric Cancer":20%;
MTF2	No	5	"Blood Cancer":20%;"Colorectal Cancer":40%;"Nervous System Cancer":20%;"Breast Cancer":20%;
MTPAP	No	5	"Liver Cancer":40%;"Breast Cancer":20%;"Blood Cancer":20%;"Colorectal Cancer":20%;
MTSS1	No	5	"Liver Cancer":40%;"Blood Cancer":20%;"Nervous System Cancer":20%;"Pancreatic Cancer":20%;
MVB12B	No	4	"Skin Cancer":25%;"Nervous System Cancer":50%;"Blood Cancer":25%;
MYO1D	No	4	"Blood Cancer":25%;"Pancreatic Cancer":50%;"Colorectal Cancer":25%;
MYO1E	No	4	"Liver Cancer":25%;"Blood Cancer":25%;"Colorectal Cancer":25%;"Pancreatic Cancer":25%;
MYO6	No	4	"Blood Cancer":25%;"Colorectal Cancer":50%;"Pancreatic Cancer":25%;
MYO7B	No	4	"Colorectal Cancer":75%;"Blood Cancer":25%;
NAT10	No	5	"Liver Cancer":40%;"Blood Cancer":20%;"Colorectal Cancer":20%;"Nervous System Cancer":20%;
NDST1	No	4	"Liver Cancer":50%;"Blood Cancer":25%;"Pancreatic Cancer":25%;
NECTIN3	No	5	"Colorectal Cancer":60%;"Nervous System Cancer":20%;"Gastric Cancer":20%;
NEDD4L	No	5	"Liver Cancer":40%;"Pancreatic Cancer":20%;"Skin Cancer":20%;"Colorectal Cancer":20%;
NEDD9	No	4	"Blood Cancer":25%;"Colorectal Cancer":50%;"Pancreatic Cancer":25%;
NEMF	No	5	"Liver Cancer":20%;"Blood Cancer":20%;"Colorectal Cancer":40%;"Breast Cancer":20%;
NFE2L1	No	5	"Liver Cancer":40%;"Blood Cancer":20%;"Colorectal Cancer":40%;
NISCH	No	5	"Liver Cancer":20%;"Blood Cancer":20%;"Pancreatic Cancer":20%;"Skin Cancer":20%;"Colorectal Cancer":20%;
NOP2	No	5	"Liver Cancer":20%;"Colorectal Cancer":60%;"Gastric Cancer":20%;
NPLOC4	No	5	"Liver Cancer":40%;"Blood Cancer":20%;"Colorectal Cancer":20%;"Skin Cancer":20%;
NRF1	No	5	"Liver Cancer":40%;"Blood Cancer":20%;"Pancreatic Cancer":20%;"Gastric Cancer":20%;
NUDT3	No	5	"Liver Cancer":20%;"Blood Cancer":20%;"Colorectal Cancer":40%;"Nervous System Cancer":20%;
NUFIP2	No	5	"Liver Cancer":40%;"Blood Cancer":20%;"Colorectal Cancer":20%;"Pancreatic Cancer":20%;
NXF1	No	5	"Liver Cancer":20%;"Blood Cancer":20%;"Colorectal Cancer":40%;"Nervous System Cancer":20%;
OGDH	No	5	"Liver Cancer":40%;"Blood Cancer":20%;"Colorectal Cancer":20%;"Gastric Cancer":20%;
ORC4	No	5	"Liver Cancer":20%;"Blood Cancer":20%;"Colorectal Cancer":20%;"Breast Cancer":20%;"Gastric Cancer":20%;
OTUD4	No	5	"Liver Cancer":40%;"Colorectal Cancer":40%;"Nervous System Cancer":20%;
P4HB	No	5	"Liver Cancer":40%;"Colorectal Cancer":20%;"Nervous System Cancer":20%;"Gastric Cancer":20%;
PAK1	No	5	"Blood Cancer":20%;Sarcoma:20%;"Pancreatic Cancer":20%;"Breast Cancer":20%;"Colorectal Cancer":20%;
PANK2	No	5	"Liver Cancer":20%;"Blood Cancer":20%;"Colorectal Cancer":40%;"Breast Cancer":20%;
PANK3	No	5	"Liver Cancer":20%;"Pancreatic Cancer":20%;"Nervous System Cancer":20%;"Breast Cancer":20%;"Gastric Cancer":20%;
PAPSS2	No	4	"Blood Cancer":75%;"Colorectal Cancer":25%;
PCCA	No	5	"Liver Cancer":20%;"Blood Cancer":20%;"Colorectal Cancer":40%;"Gastric Cancer":20%;
PC	No	5	"Liver Cancer":40%;"Blood Cancer":40%;"Colorectal Cancer":20%;
PDE4D	No	5	"Liver Cancer":20%;"Colorectal Cancer":20%;"Pancreatic Cancer":20%;"Prostate Cancer":20%;"Gastric Cancer":20%;
PDIA3	No	4	"Liver Cancer":50%;"Colorectal Cancer":25%;"Pancreatic Cancer":25%;
PHACTR4	No	5	"Liver Cancer":40%;"Colorectal Cancer":40%;"Gastric Cancer":20%;
PHC3	No	4	"Liver Cancer":25%;"Colorectal Cancer":25%;"Pancreatic Cancer":25%;"Gastric Cancer":25%;
PHLDB2	No	4	"Liver Cancer":25%;"Blood Cancer":50%;"Pancreatic Cancer":25%;
PHRF1	No	5	"Liver Cancer":20%;"Blood Cancer":20%;"Nervous System Cancer":20%;"Colorectal Cancer":40%;
PIGL	No	5	"Liver Cancer":40%;"Blood Cancer":20%;"Colorectal Cancer":40%;
PLAGL2	No	5	"Blood Cancer":60%;"Colorectal Cancer":40%;
PLN	No	5	"Liver Cancer":60%;"Nervous System Cancer":20%;"Gastric Cancer":20%;
PLPP3	No	5	"Liver Cancer":40%;"Colorectal Cancer":40%;"Breast Cancer":20%;
PMPCA	No	4	"Blood Cancer":75%;"Colorectal Cancer":25%;
POLR2A	No	4	"Liver Cancer":25%;"Blood Cancer":25%;"Colorectal Cancer":25%;"Pancreatic Cancer":25%;
POLR2D	No	5	"Liver Cancer":40%;"Colorectal Cancer":20%;"Blood Cancer":20%;"Nervous System Cancer":20%;
PPARG	Yes	4	"Blood Cancer":25%;"Colorectal Cancer":25%;"Pancreatic Cancer":25%;"Skin Cancer":25%;
PPIA	No	4	"Blood Cancer":25%;"Liver Cancer":25%;"Colorectal Cancer":25%;"Pancreatic Cancer":25%;
PPP1R37	No	5	"Liver Cancer":20%;"Nervous System Cancer":20%;"Blood Cancer":20%;"Colorectal Cancer":40%;
PPP2R2D	No	5	"Liver Cancer":40%;"Blood Cancer":20%;"Skin Cancer":20%;"Colorectal Cancer":20%;
PPP3CB	No	5	"Blood Cancer":40%;"Colorectal Cancer":20%;"Breast Cancer":20%;"Gastric Cancer":20%;
PRDX1	No	5	"Liver Cancer":40%;"Blood Cancer":20%;"Colorectal Cancer":20%;"Nervous System Cancer":20%;
PRKCI	No	5	"Nervous System Cancer":20%;"Pancreatic Cancer":40%;"Skin Cancer":20%;"Colorectal Cancer":20%;
PRKG1	No	5	"Liver Cancer":40%;"Colorectal Cancer":20%;"Blood Cancer":20%;"Pancreatic Cancer":20%;
PRLR	No	4	"Liver Cancer":50%;"Blood Cancer":50%;
PRSS48	No	4	"Liver Cancer":25%;"Colorectal Cancer":50%;"Pancreatic Cancer":25%;
PSMC6	No	5	"Liver Cancer":40%;"Blood Cancer":20%;"Colorectal Cancer":20%;"Gastric Cancer":20%;
PTCH1	Yes	4	"Liver Cancer":50%;"Nervous System Cancer":50%;
PTPN2	No	5	"Liver Cancer":40%;"Blood Cancer":20%;"Colorectal Cancer":40%;
PTPN3	No	5	"Liver Cancer":40%;"Colorectal Cancer":40%;"Pancreatic Cancer":20%;
PTPRA	No	5	"Liver Cancer":40%;"Blood Cancer":20%;"Breast Cancer":20%;"Gastric Cancer":20%;
PTPRF	No	5	"Liver Cancer":20%;Mixed:20%;"Colorectal Cancer":40%;"Pancreatic Cancer":20%;
PTTG1IP	No	5	"Liver Cancer":40%;Mixed:20%;"Blood Cancer":20%;"Colorectal Cancer":20%;
R3HDM2	No	5	"Liver Cancer":40%;"Blood Cancer":20%;"Colorectal Cancer":20%;"Breast Cancer":20%;
RAB5C	No	4	"Blood Cancer":75%;"Liver Cancer":25%;
RABEPK	No	5	"Liver Cancer":40%;"Blood Cancer":20%;"Colorectal Cancer":40%;
RAD23B	No	5	"Liver Cancer":40%;"Blood Cancer":20%;"Nervous System Cancer":20%;"Colorectal Cancer":20%;
RALGAPB	No	5	"Liver Cancer":20%;"Breast Cancer":20%;"Blood Cancer":20%;"Skin Cancer":20%;"Gastric Cancer":20%;
RAP1GDS1	Yes	4	"Nervous System Cancer":50%;"Blood Cancer":25%;"Breast Cancer":25%;
RBBP4	No	5	"Liver Cancer":40%;"Blood Cancer":20%;"Colorectal Cancer":40%;
RBM27	No	5	"Colorectal Cancer":40%;"Pancreatic Cancer":20%;"Breast Cancer":20%;"Blood Cancer":20%;
RBPJ	No	5	"Lung Cancer":20%;"Blood Cancer":20%;"Liver Cancer":20%;"Nervous System Cancer":40%;
REV1	No	5	"Blood Cancer":20%;"Liver Cancer":40%;"Nervous System Cancer":20%;"Gastric Cancer":20%;
